brand,model,averageSellingPrice,fuelType,transmission,about
Hyundai,Mustang 2023,57740,Diesel,Automatic,"The Hyundai Mustang 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2018,39919,Diesel,Automatic,"The Ford C-Class 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,X5 2023,35675,Diesel,Automatic,"The Toyota X5 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Altima 2020,46800,Electric,Manual,"The Audi Altima 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Elantra 2019,24359,Petrol,Manual,"The Ford Elantra 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,A4 2019,65433,Electric,Automatic,"The Hyundai A4 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Model 3 2022,54981,Diesel,Automatic,"The Hyundai Model 3 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Corolla 2021,46831,Diesel,Automatic,"The Audi Corolla 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,C-Class 2019,63469,Diesel,Automatic,"The Nissan C-Class 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Mustang 2023,39838,Diesel,Manual,"The Nissan Mustang 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,A4 2020,65554,Petrol,Manual,"The Volkswagen A4 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,A4 2023,51387,Electric,Manual,"The Mercedes A4 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Golf 2021,32774,Petrol,Manual,"The Hyundai Golf 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Elantra 2018,30397,Diesel,Manual,"The Nissan Elantra 2018 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Model 3 2023,47970,Diesel,Manual,"The Hyundai Model 3 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2020,28443,Diesel,Manual,"The Mercedes Civic 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Model 3 2020,37397,Petrol,Automatic,"The Nissan Model 3 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
